id,name,dbpedia_url
nij,Ngaju,http://dbpedia.org/resource/Ngaju_language
nio,Nganasan,http://dbpedia.org/resource/Nganasan_language
nia,Nias,http://dbpedia.org/resource/Nias_language
niu,Niue,http://dbpedia.org/resource/Niuean_language
nir,Nimboran,
nit,"Kolami, Southeastern",
niv,Gilyak,http://dbpedia.org/resource/Nivkh_language
niy,Ngiti,
niz,Ningil,
njb,"Naga, Nocte",
njh,"Naga, Lotha",http://dbpedia.org/resource/Lotha_language
njm,"Naga, Angami",http://dbpedia.org/resource/Angami_language
njo,"Naga, Ao",http://dbpedia.org/resource/Mongsen_Ao_language
nju,Ngadjunmaya,
nkf,"Naga, Inpui",
nko,Nkonya,
nkr,Nukuoro,http://dbpedia.org/resource/Nukuoro_language
nlg,Gela,http://dbpedia.org/resource/Gela_language
nmb,"Nambas, Big",http://dbpedia.org/resource/Big_Nambas_language
nmd,Ndumu,
nmf,"Naga, Tangkhul",
nmg,Kwasio,http://dbpedia.org/resource/Ngumba_language
nmn,!Xóõ,http://dbpedia.org/resource/Taa_language
nmu,"Maidu, Northeast",http://dbpedia.org/resource/Maidu_language
nnb,Nande,
nni,"Nuaulu, North",
nnk,Nankina,
nnm,Namia,
nnt,Nanticoke,http://dbpedia.org/resource/Nanticoke_language
noa,Woun Meu,http://dbpedia.org/resource/Noanam%C3%A1
nog,Nogai,http://dbpedia.org/resource/Nogai_language
lao,Lao,http://dbpedia.org/resource/Lao_language
noo,Nootka,http://dbpedia.org/resource/Nuu-chah-nulth_language
not,Nomatsiguenga,
npa,Nar Phu,http://dbpedia.org/resource/Nar_Phu_language
nap,Napoletano-Calabrese,http://dbpedia.org/resource/Neapolitan_language
nrb,Nara,http://dbpedia.org/resource/Nara_language
nri,"Naga, Chokri",
nrl,Ngarluma,
nrm,Narom,http://dbpedia.org/resource/Narom_language
nau,Nauruan,http://dbpedia.org/resource/Nauruan_language
nrz,Lala,
nse,Nsenga,
nsk,Naskapi,http://dbpedia.org/resource/Naskapi_language
