pk,jsondata,id,name,description,markup_description,latitude,longitude,version
386,,mkw,Máku,,,0.416666666667,-69.8333333333,1
387,,mjk,Manjaku,,,12,-16.25,1
388,,mpy,Mapoyo,,,6,-67,1
389,,mtl,Mattole,,,40.1666666667,-124.166666667,1
390,,mij,Miju,,,29,96,1
391,,mkr,Mikarew,,,-4.41666666667,144.916666667,1
392,,mgl,Mingrelian,,,42.5,42,1
393,,mit,Mituku,,,-1.66666666667,25.5,1
394,,mkb,Miwok (Bodega),,,38.3333333333,-123,1
395,,mwl,Miwok (Lake),,,38.9166666667,-122.666666667,1
396,,mwp,Miwok (Plains),,,38,-121,1
397,,mth,Mixe (Tlahuitoltepec),,,17.0833333333,-96.1666666667,1
398,,mxu,Mixtec (Chayuco),,,16.4166666667,-97.8333333333,1
399,,mxz,Mixtec (Coatzospan),,,18.0833333333,-96.5833333333,1
400,,mjc,Mixtec (San Juan Colorado),,,16.5,-98,1
401,,mxg,Mixtec (San Miguel el Grande),,,17.05,-97.5666666667,1
402,,mxs,Mixtec (Silacayoapan),,,17.5,-98.1666666667,1
406,,muy,Muyuw,,,-9.08333333333,152.75,1
407,,npn,Naga Pidgin,,,25.6666666667,94,1
408,,nhu,Nahuatl (Huauchinango),,,20.1666666667,-98.0833333333,1
409,,nmp,Nahuatl (Milpa Alta),,,19.25,-99.1666666667,1
410,,npa,Nahuatl (Pajapan),,,18.25,-94.75,1
411,,nhx,Nahuatl (Xalitla),,,18,-99.5,1
412,,nnm,Nanumea,,,-5.66666666667,176.116666667,1
413,,nsk,Naskapi,,,56,-70,1
414,,ntn,Nateni,,,10.5,1.16666666667,1
415,,ndg,Ndogo,,,7.75,27,1
416,,ned,Nederlandse Gebarentaal,,,52.25,5.5,1
417,,neg,Negidal,,,53,139,1
418,,nzs,New Zealand Sign Language,,,-43,172,1
419,,nlu,Ngarluma,,,-20.8333333333,117.5,1
405,,mti,Barí,,,9,-73,1
420,,nih,Nihon Shuwa (Japanese Sign Language),,,36,139,1
421,,nit,Nitinaht,,,48.6666666667,-124.75,1
422,,nif,Niuafo'ou,,,-15.5666666667,-175.616666667,1
423,,nuk,Nukak,,,2.5,-71.5,1
424,,nju,Nyungar,,,-33.75,122,1
425,,onn,Onondaga,,,42.75,-76.1666666667,1
426,,oko,Oriya (Kotia),,,18.3333333333,83,1
427,,orl,Orokolo,,,-7.83333333333,145.333333333,1
428,,osm,Otomí (Santiago Mexquititlan),,,20.0833333333,-100.083333333,1
429,,pen,Pengo,,,19.8333333333,83.8333333333,1
431,,prt,Piratapuyo,,,0.333333333333,-69.5,1
432,,pla,Playero,,,7,-71,1
434,,psv,Popoloca (San Vicente Coyotepec),,,18.25,-97.8333333333,1
435,,pot,Potawatomi,,,44.5,-85,1
436,,pow,Powhatan,,,37.3333333333,-76.5,1
437,,pui,Puinave,,,4,-68,1
438,,qan,Quechua (Ancash),,,-8.5,-77.5,1
439,,qca,Quechua (Cajamarca),,,-7,-78.5,1
