pk,jsondata,value_pk,sentence_pk,description,version
1202,,12757,1020,,1
1203,,3673,1108,,1
1204,,2593,1109,,1
1205,,2629,1110,,1
1206,,4853,1111,,1
1207,,3695,1112,,1
1208,,3795,1113,,1
1209,,3558,1114,,1
1210,,53989,1115,,1
1211,,24870,1116,,1
1212,,12660,1117,,1
1213,,12660,1118,,1
1214,,12660,1119,,1
1215,,12660,1120,,1
1216,,12660,1121,,1
1217,,12660,1122,,1
1218,,12660,1123,,1
1219,,12660,1124,,1
1220,,8699,1125,,1
1221,,8699,1126,,1
1222,,8699,1127,,1
1223,,3241,1128,,1
1224,,4855,1129,,1
1225,,4855,1130,,1
1226,,6436,1131,,1
1227,,6661,1131,,1
