id,name,gbs_id
Beaton-1968,Beaton 1968,
Beaulieux-1950,Beaulieux 1950,
Beaulieux-and-Mladenov-1933,Beaulieux and Mladenov 1933,
Beaumont-1979,Beaumont 1979,
Beaumont-1988,Beaumont 1988,
Beauvoir-1915,Beauvoir 1915,
Bec-1963,Bec 1963,
Becka-1969,Becka 1969,
Becker-Donner-1965,Becker-Donner 1965,
Beckett-1951,Beckett 1951,
Beckwith-1992,Beckwith 1992,
Becuwe-1982,Becuwe 1982,
Bedir-Khan-et-al-1986,Bedir Khan et al. 1986,
Bee-1973,Bee 1973,
Beech-1911,Beech 1911,
Beeler-1976,Beeler 1976,
Beeler-1978,Beeler 1978,
Beeler-nd,Beeler n.d.,
Beeston-1984,Beeston 1984,
Beffa-1982,Beffa 1982,
Beffa-and-Hamayon-1975,Beffa and Hamayon 1975,
Beland-1978,Beland 1978,
Belfrage-1991,Belfrage 1991,
Bell-1939,Bell 1939,f-zcHCeMeUYC
Bell-1953,Bell 1953,
Bell-1965,Bell 1965,rOFtGi9VxZcC
Bell-1968,Bell 1968,
Bell-1971,Bell 1971,
Bell-1977,Bell 1977,
Bell-1982,Bell 1982,
Bell-and-Seed-1994,Bell and Seed 1994,
Beller-and-Beller-1979,Beller and Beller 1979,
Bellier-1983,Bellier 1983,
Benaissa-1979,Benaissa 1979,
Benaissa-1991,Benaissa 1991,
Bender-1967,Bender 1967,
Bender-1968,Bender 1968,
Bender-1969,Bender 1969,
Bender-1971,Bender 1971,
Bender-1976,Bender 1976,
Bender-1979,Bender 1979,
Bender-1983a,Bender 1983a,
Bender-1983b,Bender 1983b,
Bender-1989,Bender 1989,
Bender-1993,Bender 1993,CoUxMJBKOdsC
Bender-1996,Bender 1996,
Bender-and-Fulass-1977,Bender and Fulass 1977,
Bender-and-Harris-1946,Bender and Harris 1946,
Bendor-Samuel-1961a,Bendor-Samuel 1961a,
Bendor-Samuel-1961b,Bendor-Samuel 1961b,
Bendor-Samuel-1972,Bendor-Samuel 1972,
Bendor-Samuel-et-al-1973,Bendor-Samuel et al. 1973,
Bendor-Samuel-et-al-1989,Bendor-Samuel et al. 1989,
Benjamin-1976,Benjamin 1976,
Benko-and-Imre-1972,Benkö and Imre 1972,
Bennett-1977,Bennett 1977,
Bennett-1986,Bennett 1986,
Bennett-1989,Bennett 1989,
Bentley-1887,Bentley 1887,
Bentley-1895,Bentley 1895,
Bentley-and-Kulemeka-2001,Bentley and Kulemeka 2001,
Bentolila-1981,Bentolila 1981,
Bentolila-and-Shimelis-1998,Bentolila and Shimelis 1998,iUZwutwVyPEC
Benton-1971a,Benton 1971a,
Benton-1971b,Benton 1971b,
Benua-1995,Benua 1995,
Benveniste-1929,Benveniste 1929,
Benzing-1955,Benzing 1955,
Benzing-1965,Benzing 1965,
Benzing-1985,Benzing 1985,
Bequelin-1980,Bequelin 1980,
Berchem-1991,Berchem 1991,
Berg-1981,Berg 1981,
Berg-and-Kerr-1973,Berg and Kerr 1973,
Berger-1974,Berger 1974,
Berger-1998,Berger 1998,
Bergman-1968,Bergman 1968,
Bergman-1981,Bergman 1981,
Bergman-1988,Bergman 1988,
Bergman-1995,Bergman 1995,
Bergman-et-al-1969,Bergman et al. 1969,
Bergs-2001,Bergs 2001,
Bergsland-1956,Bergsland 1956,
Bergsland-1959,Bergsland 1959,
Bergsland-1976,Bergsland 1976,
Bergsland-1994,Bergsland 1994,
Bergsland-1997,Bergsland 1997,
Berit-and-Strandskogen-1998,Berit and Strandskogen 1998,
Berlin-1963,Berlin 1963,
Berlin-and-Kaufman-1962,Berlin and Kaufman 1962,
Berman-1976,Berman 1976,
Berman-1978,Berman 1978,
Berman-1990,Berman 1990,
Berman-1997,Berman 1997,nbUOAAAAQAAJ
Bernabe-1983,Bernabé 1983,
Berneker-and-Vasmer-1971,Berneker and Vasmer 1971,
Bernot-1980,Bernot 1980,w_DQETmcUHcC
Berntsen-1975,Berntsen 1975,
Berry-1995a,Berry 1995a,
Berry-1995b,Berry 1995b,
Berry-and-Berry-1999,Berry and Berry 1999,
Berry-nd,Berry n.d.,
Berschin-etal-1995,Berschin et.al. 1995,zsobz9d7if0C
Berta-1998,Berta 1998,U1009DRu_vMC
Berthiaume-and-Rinfret-2000,Berthiaume and Rinfret 2000,
Berthoud-1920,Berthoud 1920,
Bertinetto-1981,Bertinetto 1981,
Berulfsen-1977,Berulfsen 1977,
Besha-1993,Besha 1993,
Besnier-2000,Besnier 2000,49gU7TzyJAEC
Best-1983,Best 1983,
Beuchat-and-Rivet-1909,Beuchat and Rivet 1909,
Beyer-2001,Beyer 2001,
Beyrer-et-al-1987,Beyrer et al. 1987,
Beythan-1943,Beythan 1943,
Bhaskararao-1972,Bhaskararao 1972,
